Organization Name,Organization Name URL,Industries,Headquarters Location,CB Rank (Organization),Founded Date,Funding Status,Last Funding Date,Last Funding $,Last Funding Type,Total Funding $,Founders
Bungee Tech,https://www.crunchbase.com/organization/bungee,"Analytics, Artificial Intelligence, Data Mining, Data Visualization, Enterprise Software, SaaS","Bellevue, Washington, United States","15,471",2017-01-01,Seed,2019-03-10,2900000,Seed,3000000,"Charles Ding, Rajat Nigam"
Burst,https://www.crunchbase.com/organization/burst-bd1a,"Advertising, E-Commerce, Grocery, Mobile, Software",,"225,749",2020-01-30,,,,,,Ted Ramert
BxB,https://www.crunchbase.com/organization/bxb,Internet,"Seoul, Seoul-t'ukpyolsi, South Korea","39,152",2018-05-30,M&A,2020-01-14,431723,Seed,966306,"Alex Friedberg, Hwan Kim, Jiho Kang, JJ Petersen"
Campus Founders Fund,https://www.crunchbase.com/organization/campus-founders-fund,"Finance, Financial Services, Venture Capital","Salt Lake City, Utah, United States","385,177",2014-10-01,,,,,,"Carl Luft, Jonathan Johnson, Kyle Harrison, Minna Wang, Ryan Smith"
CampusCraze,https://www.crunchbase.com/organization/campuscraze,,,"1,996,745",1999-06-01,,,,,,"James Chen, Neej Gore"
Cargo,https://www.crunchbase.com/organization/cargo,"Automotive, Developer APIs, Internet of Things","Portland, Oregon, United States","88,460",2014-02-01,Seed,2016-06-20,100000,Convertible Note,400000,"Chuck Jewell, Matt Wallington, Tyler Phillipi"
Casalova,https://www.crunchbase.com/organization/casalova,"Property Management, Real Estate","Toronto, Ontario, Canada","99,363",2014-11-20,,2017-04-05,2500000,Venture - Series Unknown,2500000,"Curtis Layne, Ray Taaeb"
Cashfree Payments,https://www.crunchbase.com/organization/cashfree,"Finance, Financial Services, FinTech, Mobile Payments, Payments","Bengaluru, Karnataka, India","15,515",2015-07-01,,2021-06-07,,Undisclosed,40920000,"Akash Sinha, Reeju Datta"
Católica Students' Corporation,https://www.crunchbase.com/organization/católica-students-corporation,Consulting,"Porto, Lisboa, Portugal","1,818,168",2009-01-01,,,,,,Tiago Teixeira Correia
Cent,https://www.crunchbase.com/organization/cent,"Blockchain, Content Creators, Cryptocurrency, Social Network",,"20,857",2017-01-01,Seed,2021-08-05,3000000,Seed,3000000,"Cameron Hejazi, Katie Geminder, Max Brody"
Chainsage,https://www.crunchbase.com/organization/chainsage,"Blockchain, Cryptocurrency",,"384,070",2018-01-01,,,,,,Mehmet Alkanlar
Chakpak Media,https://www.crunchbase.com/organization/chakpak-media,"Digital Entertainment, Media and Entertainment, News","Bangalore, Karnataka, India","293,969",2007-01-01,,2008-12-22,5000000,Venture - Series Unknown,5000000,"Gaurav Kushwaha, Nitin Rajput"
Chatitive,https://www.crunchbase.com/organization/essential-platform-services,"B2B, Computer, Enterprise Software, Marketing Automation, Messaging, Mobile, SaaS","Seattle, Washington, United States","66,243",2016-04-01,M&A,2019-07-19,650000,Undisclosed,650000,"Daniel Pirone, Mike McMurray"
Chatterous,https://www.crunchbase.com/organization/chatterous,"Apps, Blogging Platforms, Email, Internet of Things, Messaging, Mobile, Mobile Apps","San Francisco, California, United States","278,177",2008-01-01,Seed,2008-01-01,,Seed,,"Kenshi Arasaki, Wilkins Chung"
Chef Software,https://www.crunchbase.com/organization/chef,"Cloud Computing, Information Technology, Infrastructure, SaaS, Software","Seattle, Washington, United States","11,316",2008-09-12,M&A,2015-09-09,40000000,Series E,105000000,"Adam Jacob, Barry Steinglass, Jesse Robbins, Joshua Timberman, Nathan Haneysmith"
Circinaut Technical Consulting Group,https://www.crunchbase.com/organization/circinaut-technical-consulting-group,Information Technology,,"1,846,023",2014-08-01,,,,,,Rian Schmidt
Clari5 (CustomerXPs),https://www.crunchbase.com/organization/customerxps-software,"Artificial Intelligence, Banking, Compliance, Enterprise Software, Financial Services, FinTech, Fraud Detection, Machine Learning, Risk Management, Software","Issaquah, Washington, United States","176,369",2006-07-29,,2015-06-11,,Non-equity Assistance,4000000,"Aditya Lal, Balaji Suryanarayana, Rivi Varghese, Sandhya V"
Claritype,https://www.crunchbase.com/organization/claritype,"Data Integration, Software",,"76,970",2020-12-01,Seed,2021-07-01,2000000,Pre-Seed,2000000,Robert Giardina
Cleanfox,https://www.crunchbase.com/organization/cleanfox,"CleanTech, Email, Software","Paris, Ile-de-France, France","253,351",2016-09-13,Seed,2016-11-01,,Seed,,Edouard Nattee
Clippr,https://www.crunchbase.com/organization/clippr-c90f,Artificial Intelligence,"Gurgaon, Haryana, India","316,825",2020-07-01,,,,,,Sanjay Kumar
Cloud Jolt,https://www.crunchbase.com/organization/cloud-jolt,Web Hosting,"Babson Park, Massachusetts, United States","1,484,713",2010-12-09,,,,,,"Alex Friedberg, Gus Ba"
Cloud.Market,https://www.crunchbase.com/organization/cloud-market,Information Technology,,"1,426,654",,M&A,,,,,Chris Maxwell
Codingal,https://www.crunchbase.com/organization/codingal,"EdTech, Education, STEM Education","Bangalore, Karnataka, India","20,431",2020-01-01,Seed,2021-09-01,1200000,Seed,1760000,"Satyam Baranwal, Vivek Prakash"
Codingmart Technologies,https://www.crunchbase.com/organization/codingmart-technologies,"Information Technology, Mobile Apps, Software, Software Engineering, Web Development","Bengaluru, Karnataka, India","130,282",2015-11-26,,,,,,"Sathish Balakrishnan, Senthil Kumar"
Coffee Meets Bagel,https://www.crunchbase.com/organization/coffee-meets-bagel,"Apps, Dating, Mobile","San Francisco, California, United States","42,996",2011-02-14,Early Stage Venture,2018-05-30,12000000,Series B,23200000,"Arum Kang, Dawoon Kang, Soo Kang"
Cogoport,https://www.crunchbase.com/organization/cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation","Mumbai, Maharashtra, India","2,081",2016-05-03,Early Stage Venture,2022-04-06,50000000,Series B,67039911,"Anurag Dabral, Harsh Kumar, Kunal Rathod, Nishant Dalmia, Shekhar Purnendu"
Collagr,https://www.crunchbase.com/organization/collagr,"Online Portals, Photo Editing, Web Browsers","Cerritos, California, United States","1,012,753",2007-06-01,,,,,,"Andy Kim, Christian Sanz"
CollegeGrad LLC,https://www.crunchbase.com/organization/collegegrad-llc-2,"College Recruiting, Education, Higher Education, Internet, Recruiting","Seattle, Washington, United States","326,007",1995-01-02,,,,,,Brian Krueger
Colvin,https://www.crunchbase.com/organization/the-colvin-co,"Classifieds, E-Commerce, Flowers, Internet","Barcelona, Catalonia, Spain","30,103",2016-12-01,Late Stage Venture,2021-07-28,53304778,Series C,81660343,"Andres Cester, Marc Olmedillo, Sergi Bastardas"
CommerceIQ,https://www.crunchbase.com/organization/commerceiq,"Analytics, Consumer Goods, E-Commerce, Machine Learning, Sales, Software","Palo Alto, California, United States","26,248",2012-01-01,Late Stage Venture,2022-03-21,115000000,Series D,195500000,Guru Hariharan
Contlo,https://www.crunchbase.com/organization/contlo,"Analytics, E-Commerce, Marketing, Personalization, SaaS",,"21,259",2021-05-01,Seed,2022-01-25,800000,Pre-Seed,800000,"Ishaan Bhola, Mukunda NS"
CoreOS,https://www.crunchbase.com/organization/coreos,"Cloud Computing, Linux, SaaS, Security, Software, Web Hosting","San Francisco, California, United States","19,435",2013-01-01,M&A,2016-05-09,28000000,Series B,48120000,"Alex Polvi, Brandon Philips, Jake Moshenko"
CPUsage,https://www.crunchbase.com/organization/cpusage,"Cloud Computing, Enterprise Software, PaaS, Software","Portland, Oregon, United States","149,142",2011-08-01,,2013-09-10,925000,Venture - Series Unknown,925000,"Jeff Martens, Matt Wallington, Shiv Agarwal"
Cremona VC,https://www.crunchbase.com/organization/cremona-vc,,"Santiago, Region Metropolitana, Chile","703,127",2017-08-01,Seed,2017-10-30,,Seed,,Andres Barriga
Crossboard Mobile,https://www.crunchbase.com/organization/pontiflex,"Advertising, Advertising Platforms, Marketing, Mobile","Brooklyn, New York, United States","124,765",2008-01-01,M&A,2014-06-05,1250000,Debt Financing,23949992,"Geoffrey Grauer, Zephrin Lasker"
Cyber Care LLC,https://www.crunchbase.com/organization/cyber-care-llc,Consulting,"Providence, Rhode Island, United States","840,205",2008-01-01,,,,,,Bryan Healey
Dante Labs,https://www.crunchbase.com/organization/dante-labs,"Analytics, Big Data, Biotechnology, Genetics","New York, New York, United States","51,947",2016-09-27,Early Stage Venture,2022-05-10,,Grant,,"Andrea Riposati, Mattia Capulli"
Data Everywhere,https://www.crunchbase.com/organization/data-everywhere,"Cloud Data Services, Database, Publishing","Chicago, Illinois, United States","129,001",2013-01-01,Seed,2014-06-26,100000,Convertible Note,100000,"Dan McGee, Dave Bortz"
Datatron,https://www.crunchbase.com/organization/datatron,"Analytics, Artificial Intelligence, Infrastructure, Machine Learning, Software","San Francisco, California, United States","13,173",2016-01-01,Seed,2022-01-21,12100000,Seed,12100000,"Harish Doddi, Jerry Xu"
Deep Sentinel,https://www.crunchbase.com/organization/deep-sentinel,"Home Improvement, Home Services, Security","Pleasanton, California, United States","14,141",2016-01-01,,2021-05-26,,Venture - Series Unknown,23400000,"David Selinger, Winston Chen"
Delta Financial Limited,https://www.crunchbase.com/organization/delta-financial-limited,"Banking, Financial Services","Hong Kong, Hong Kong Island, Hong Kong","1,607,561",,,,,,,Wilkins Chung
Delve Networks,https://www.crunchbase.com/organization/delve-networks,"Publishing, Search Engine, Video","Seattle, Washington, United States","260,717",2006-02-01,M&A,2009-06-18,1917800,Venture - Series Unknown,11567800,"Alex Castro, Jonathan Thompson"
Devicify,https://www.crunchbase.com/organization/devicify,"Enterprise Software, Internet of Things, Management Information Systems, Software","State College, Pennsylvania, United States","702,477",2013-01-01,Seed,2016-03-16,,Seed,,"Euan McLeod, Scott Johnson"
DNZoom,https://www.crunchbase.com/organization/dnzoom,,"Boynton Beach, Florida, United States","1,685,801",,,,,,,Michael Fountain
DoControl,https://www.crunchbase.com/organization/docontrol-6236,"Cloud Security, Cyber Security, Information Technology, Productivity Tools, Risk Management, SaaS","New York, New York, United States","1,103",2020-06-01,Early Stage Venture,2022-04-14,30000000,Series B,43350000,"Adam Gavish, Liel Ran, Omri Weinberg"
DoneBy,https://www.crunchbase.com/organization/doneby,"Content, Content Creators, Database, Information Technology, Internet, Machine Learning","Los Angeles, California, United States","159,687",2013-01-01,Seed,2014-06-06,815400,Convertible Note,2015400,"Greg Delson, John W. Gibbons, Tarn Rodewald"
dpreview,https://www.crunchbase.com/organization/dpreview,"E-Commerce, News, Publishing","Seattle, Washington, United States","300,096",1998-12-25,M&A,,,,,Phil Askey
Drishti,https://www.crunchbase.com/organization/drishti-5269,"Analytics, Artificial Intelligence, Computer Vision, Machine Learning, Software","Mountain View, California, United States","5,027",2017-01-01,Early Stage Venture,2020-06-16,25000000,Series B,37225000,"Ashish Gupta, Krishnendu Chaudhury, Prasad Akella"
DrivSocial,https://www.crunchbase.com/organization/drivsocial,Software,"Hollywood, Florida, United States","2,000,217",2011-02-15,,,,,,"Allyn Alford, Jeremy Maranda"
DropBlok.io,https://www.crunchbase.com/organization/tomyo-edtech,"E-Learning, EdTech, Mobile Apps, Software","Ulaanbaatar, Ulaanbaatar, Mongolia","175,585",2019-11-07,Seed,2021-08-09,,Seed,,"Bayarsaikhan Volodya, Eja Batbold, Erkhembayar Gantulga"
Droptalk,https://www.crunchbase.com/organization/droptalk,"Developer Tools, Internet",,"1,005,260",2013-01-01,M&A,,,,,"Anand Prakash, Mark Heynen, Rakesh Mathur"
E-commerce.cx,https://www.crunchbase.com/organization/e-commerce-cx,"Delivery, E-Commerce, Internet, SaaS, Software","Paris, Ile-de-France, France","1,547,803",,,2018-04-01,,Non-equity Assistance,,"Christophe Le Houédec, François Misslin, Philippe Kalousdian"
Easter Egg Archive,https://www.crunchbase.com/organization/easter-egg-archive,"Developer APIs, Education, Software",,"766,103",1995-01-01,,,,,,David Wolf
Easyenough.com,https://www.crunchbase.com/organization/easyenough-com,"E-Commerce, Internet","Seattle, Washington, United States","1,068,384",1998-10-14,,,,,,Michael Brown
edbazar.com,https://www.crunchbase.com/organization/edbazar-com,"E-Commerce, Internet",,"1,465,956",1905-08-28,,,,,,"Bill Gates, Jeff Bezos"
Edge by Ascential,https://www.crunchbase.com/organization/edge-by-ascential,"Information Technology, Software","London, England, United Kingdom","124,302",2018-01-01,,,,,,Spencer Millerberg
Education Ecosystem,https://www.crunchbase.com/organization/liveedu,"Artificial Intelligence, Augmented Reality, Big Data, Cyber Security, Education, Software Engineering, Training, UX Design, Video, Video Streaming, Virtual Reality, Web Design","Los Angeles, California, United States","218,044",2014-06-01,Seed,2018-08-22,,Seed,,Michael Garbade
Electric Capital,https://www.crunchbase.com/organization/electric-capital,"Blockchain, Cryptocurrency, Financial Services, FinTech, Venture Capital","Palo Alto, California, United States","13,573",2013-01-01,Early Stage Venture,2018-05-15,,Series A,,"Avichal Garg, Curtis Spencer"
Elemental Foundry,https://www.crunchbase.com/organization/elemental-foundry,"Collaboration, Digital Media, Social Media, Sports","Seattle, Washington, United States","178,425",2012-01-01,M&A,2013-11-01,1000000,Seed,1000000,John Pollard
Embrace Mobile,https://www.crunchbase.com/organization/embrace-mobile,"Mobile, SMS, Wireless",,"551,190",,,,,,,Graham Innocent
EnergySavvy,https://www.crunchbase.com/organization/energysavvy-com,"Cloud Infrastructure, Energy Efficiency, SaaS, Software","Seattle, Washington, United States","36,520",2008-11-17,M&A,2016-10-20,14000000,Series D,27178058,"Aaron Goldfeder, Karl Siebrecht, Leo Shklovskii"
Enkia,https://www.crunchbase.com/organization/enkia,"Analytics, Artificial Intelligence, Machine Learning, Social Media, Software","Atlanta, Georgia, United States","383,145",1998-11-09,M&A,2000-02-01,2050000,Series A,2250000,"Anthony Francis, Ashwin Ram, Mark Devaney"
enMarkit,https://www.crunchbase.com/organization/enmarkit,"Analytics, Big Data, E-Commerce","Gurgaon, Haryana, India","193,616",2012-01-01,Seed,2013-08-29,11700,Seed,11700,"Ekta Mittal, Vipin Agarwal"
Enmovil,https://www.crunchbase.com/organization/enmovil,"Fleet Management, Information Technology, Machine Learning, Software","Hyderabad, Andhra Pradesh, India","24,204",2015-01-01,Seed,2021-12-14,1314968,Seed,1746968,"Nanda Kishore, Ravi Bulusu, Venkat Moganty"
Enso Fintech,https://www.crunchbase.com/organization/enso-fintech,"Banking, Financial Services, FinTech","Mexico City, Distrito Federal, Mexico","40,686",2018-04-01,Seed,2018-04-01,4000000,Seed,4000000,Rafael De La Parra
Episode 1,https://www.crunchbase.com/organization/episode,"Enterprise Software, Finance, Financial Services, Venture Capital","London, England, United Kingdom","72,017",2013-01-01,,2013-09-01,,Venture - Series Unknown,,"Adrian Lloyd, Damien Lane, Simon Murdoch"
esrdtfgy,https://www.crunchbase.com/organization/jha-grops,,,"1,807,341",,,,,,,"Jeff Bezos, Lakshya Dweep Jha"
Everi,https://www.crunchbase.com/organization/everi,,,"285,063",2020-09-23,,,,,,"Achal Prabhakar, Rustam Hashimov"
Evocalize,https://www.crunchbase.com/organization/evocalize,"Advertising, Collaboration, Marketing Automation","Seattle, Washington, United States","29,530",2012-01-01,Early Stage Venture,2022-01-18,12000000,Series A,15450000,"Kumar Srinivasan, Matthew Marx"
Evri,https://www.crunchbase.com/organization/evri,"News, Semantic Web, Social Media","Seattle, Washington, United States","73,862",2007-07-01,Early Stage Venture,2012-06-14,3500000,Series A,11849203,Neil Roseman
Expert Edge,https://www.crunchbase.com/organization/expert-edge,"Advertising, Brand Marketing, Content Marketing, E-Commerce, Sales","London, England, United Kingdom","336,968",2016-03-09,,,,,,Alex Walker
EyeJot,https://www.crunchbase.com/organization/eyejot,Messaging,"Seattle, Washington, United States","745,529",2007-01-01,Seed,2007-05-01,750000,Seed,1150000,Daryn Nakhuda
Faithbox,https://www.crunchbase.com/organization/churchbox,"Religion, Subscription Service","Elkhorn, Nebraska, United States","259,247",2014-07-01,,,,,,"Andy Wollen, Willie Morris"
Fanhandle,https://www.crunchbase.com/organization/fanhandle,"Celebrity, Sports","Waimea, Hawaii, United States","1,216,723",2015-01-01,,,,,,"Chuck Jewell, Darius Monsef, Matt Wallington"
FanTalk,https://www.crunchbase.com/organization/fantalk,"Communities, Music, Social Network, Sports","San Mateo, California, United States","476,552",2011-01-01,Seed,2012-05-18,500000,Angel,500000,She-Rae Chen
Fara,https://www.crunchbase.com/organization/fara,"E-Commerce, Mobile, Shopping","Mountain View, California, United States","114,322",2011-01-01,,2012-08-31,792500,Venture - Series Unknown,1052500,"Josh Chen, Leo C"
Farber Strategies,https://www.crunchbase.com/organization/farber-strategies,"Consulting, Corporate Training, Cyber Security, Privacy","London, England, United Kingdom","1,749,740",2011-04-01,,,,,,"Debra Farber, Michelle Farber"
Farmsphere,https://www.crunchbase.com/organization/farmsphere,"Enterprise Software, Internet","Mountain View, California, United States","1,871,296",2008-11-01,,,,,,"Sebastian Nader, Sebastian San Juan"
Ferne Health,https://www.crunchbase.com/organization/ferne-health,Health Care,"Singapore, Central Region, Singapore","150,257",2020-01-28,Seed,2021-10-01,,Seed,,Xi Liu
Fernish,https://www.crunchbase.com/organization/fernish,"E-Commerce, Furniture, Interior Design, Lifestyle","Los Angeles, California, United States","4,663",2017-01-01,Early Stage Venture,2021-11-01,,Series B,58687920,"Lucas Dickey, Michael Barlow"
FindCollabs,https://www.crunchbase.com/organization/findcollabs,,,"1,029,071",2018-08-01,,,,,,Jeff Meyerson
Fineway,https://www.crunchbase.com/organization/fineway,"Artificial Intelligence, SaaS, Travel","Munich, Bayern, Germany","31,894",2015-01-01,Early Stage Venture,2019-08-30,15000000,Series A,25000000,"Markus Bohl, Markus Feigelbinder"
Finiata,https://www.crunchbase.com/organization/bezahlt,"Commercial Lending, Finance, Financial Services, FinTech, Lending, Payments, Social Entrepreneurship, Software","Berlin, Berlin, Germany","7,103",2016-01-01,M&A,2020-11-11,8246354,Series A,17365039,"Daniel Schlotter, Kenan Deniz, Naveen Prasad, Sebastian Diemer"
FitFam,https://www.crunchbase.com/organization/gametiime,"Fitness, Internet, Sports","Seattle, Washington, United States","1,547,738",2012-01-01,,,,,,"Don Le, Jon Tam"
Flipkart,https://www.crunchbase.com/organization/flipkart,"E-Commerce, Marketplace, Video Games","Bengaluru, Karnataka, India",101,2007-01-01,M&A,2021-07-12,3600000000,Private Equity,12609184737,"Binny Bansal, Sachin Bansal"
Floreo,https://www.crunchbase.com/organization/floreo,"Developer Platform, Developer Tools, Education, Health Care, Software, Virtual Reality","Washington, District of Columbia, United States","38,609",2016-03-01,,2021-11-10,,Venture - Series Unknown,2100000,Vijay Ravindran
Flying Fish Partners,https://www.crunchbase.com/organization/flying-fish-venture-partners,,"Seattle, Washington, United States","43,821",2016-01-01,,,,,,"Frank Chang, Geoff Harris, Heather Redman"
Foodista,https://www.crunchbase.com/organization/foodista,"Communities, Cooking, Developer Tools, Food and Beverage, Hospitality, Internet, News, Travel","Seattle, Washington, United States","399,547",2008-02-01,,2010-04-08,750000,Venture - Series Unknown,1300000,"Barnaby Dorfman, Colin M. Saunders, Sheri Wetherell"
Founders for Founders,https://www.crunchbase.com/organization/founders-for-founders,"Communities, Internet, Social Entrepreneurship","Sydney, New South Wales, Australia","388,387",2017-01-01,,,,,,"Julia French, Shiladitya sunny ghosh"
Foxintelligence,https://www.crunchbase.com/organization/foxintelligence,"Artificial Intelligence, Big Data, Business Intelligence, E-Commerce, Market Research, Software","Paris, Ile-de-France, France","21,198",2016-04-01,M&A,2018-10-03,9000000,Series B,19406286,"Edouard Nattee, Florian Cleyet Merle, Louis Balladur, Nicolas Remia, Thibaud Elziere"
Frenchconnection,https://www.crunchbase.com/organization/frenchconnection,"Internet, Telecommunications","Paris, Ile-de-France, France","675,462",2011-01-01,,,,,,Olivier Rousseau
Fresh Chalk,https://www.crunchbase.com/organization/fresh-chalk,"Apps, Communities, Events, Leisure","Austin, Texas, United States","62,599",2018-01-01,Seed,2019-11-25,2000000,Seed,2000000,"Liz Pearce, Patrick O'Donnell"
Furnish,https://www.crunchbase.com/organization/furnish,"Android, Augmented Reality, E-Commerce, Furniture, iOS, Mobile, Shopping","Irvine, California, United States","407,279",2012-09-01,,,,,,"Andy Kim, Austin Evelo, William Chu"
Game.tv,https://www.crunchbase.com/organization/game-tv,"Artificial Intelligence, eSports, Gaming, PC Games","Campbell, California, United States","12,737",2018-01-01,Early Stage Venture,2019-12-12,25000000,Series A,25000000,"Jay Vaishnav, Rosen Sharma"
GameDevNetwork,https://www.crunchbase.com/organization/gamedevnetwork,"Communities, Software",,"1,896,939",2017-01-01,,,,,,Liam Sorta
Gazelle,https://www.crunchbase.com/organization/gazelle,"Consumer Electronics, E-Commerce, Electronics, Software","Boston, Massachusetts, United States","36,614",2006-01-01,M&A,2014-08-11,9500000,Series E,55900000,"Israel Ganot, Verne Harnish"
GemShare,https://www.crunchbase.com/organization/gemshare,"Local, Mobile, Privacy, Social Media","San Francisco, California, United States","100,425",2013-01-01,Seed,2014-04-03,1200000,Seed,1200000,"Claudine Ryan, Jonathan Xu, Maryam Mohit"
Geniusdelivery,https://www.crunchbase.com/organization/geniusdelivery,"Automotive, Delivery, E-Commerce, Information Technology, Transportation",,"2,030,147",,,,,,,Brodie Yastrum
GetOne Rewards,https://www.crunchbase.com/organization/getone-rewards,"Consumer, CRM, Mobile, Software","Atlanta, Georgia, United States","109,166",2010-01-01,Early Stage Venture,2014-01-14,2500000,Series B,3330984,"Jay Jackson, Justin Michela, Maria Bray, Noah Witherspoon, Robert Taylor"
GhostBloggers,https://www.crunchbase.com/organization/ghostbloggers,"Blogging Platforms, Content, E-Commerce, Journalism","San Francisco, California, United States","955,640",2011-01-01,,,,,,"Davy Kestens, Marcos Moralez"
Global Database,https://www.crunchbase.com/organization/global-database-2,"B2B, Business Development, Business Intelligence, Information Technology, Lead Generation, Small and Medium Businesses, Software","Northampton, Northamptonshire, United Kingdom","30,009",2015-01-28,Seed,2021-09-01,1462425,Seed,1462425,Nicolae Buldumac
globaledit,https://www.crunchbase.com/organization/globaledit,"Advertising, Enterprise Software, Information Technology, SaaS, Video","New York, New York, United States","174,985",2002-01-01,,,,,,Aaron Holm
GoCanvas,https://www.crunchbase.com/organization/canvas,"Android, Cloud Data Services, iOS, Market Research, Mobile, Productivity Tools, SaaS, Video, Wireless","Reston, Virginia, United States","17,177",2008-08-01,M&A,2016-02-05,4000002,Series D,21077738,"Barrick Rothchild, Chris Morrisette, James Quigley, Marc Austin, Matt Warner"
GOI,https://www.crunchbase.com/organization/goi,"Information Technology, Last Mile Transportation, Logistics","Madrid, Madrid, Spain","66,400",2016-01-01,Seed,2016-10-18,,Seed,221709,"Alberto López, Alfredo Pérez Perdiz, Yaiza Canosa Ferrio"
Good Technology,https://www.crunchbase.com/organization/good-technology,"Collaboration, Cyber Security, Enterprise Software, Messaging, Mobile, Security, Software","Sunnyvale, California, United States","14,135",1996-01-01,M&A,2014-09-30,80000000,Debt Financing,478875005,"Daniel Mendez, David Whorton, Doug Brackbill, Hong Bui, Joel Jewitt, Trae Vassallo"
Goodbill,https://www.crunchbase.com/organization/goodbill,"Billing, Consumer Applications, Medical","Seattle, Washington, United States","35,473",2021-12-01,Seed,2021-12-01,3400000,Seed,3400000,"Ian Sefferman, Patrick Haig"
Goodly,https://www.crunchbase.com/organization/goodly,"Employee Benefits, FinTech, Human Resources","San Francisco, California, United States","101,868",2018-04-01,Seed,2019-03-27,1300000,Seed,1420000,"Greg Poulin, Hemant Verma"
GoPixel,https://www.crunchbase.com/organization/gopixel,"Advertising, Analytics, Social Media","Seattle, Washington, United States","1,005,626",2012-01-01,Seed,2013-09-06,,Seed,,"Aamer Abbas, Eoghan Murray, Peter Chang"
Gordon & Eden,https://www.crunchbase.com/organization/gordon---eden,Recruiting,"London, England, United Kingdom","966,578",2014-01-01,,,,,,"Sam Gordon, Sophie Eden"
Gotara,https://www.crunchbase.com/organization/gotara,,,"181,869",2020-12-01,,,,,,Dr. D Sangeeta
GoZefo,https://www.crunchbase.com/organization/gozefo,"Computer, E-Commerce, Furniture","Bangalore, Karnataka, India","7,494",2015-01-01,M&A,2018-10-12,2849931,Venture - Series Unknown,19003996,"Arjit Gupta, Himesh Joshi, Karan Gupta, Rohit Ramasubramanian"
Grabbd,https://www.crunchbase.com/organization/grabbd-inc,"Apps, iOS, Location Based Services, Software, Tourism","London, England, United Kingdom","171,813",2016-01-15,,,,,,Shammi Arora
Grand Slam Capital,https://www.crunchbase.com/organization/grand-slam-capital,"FinTech, Venture Capital",,"1,730,070",,,,,,,Adam Wray
Graphicly,https://www.crunchbase.com/organization/graphicly,"Advertising, Digital Media, Finance, Publishing","Palo Alto, California, United States","91,734",2009-01-01,M&A,2013-09-04,1300000,Venture - Series Unknown,10024049,Micah Baldwin
Gremlin,https://www.crunchbase.com/organization/gremlin-inc,"PaaS, SaaS, Software","San Jose, California, United States","6,935",2016-01-01,Early Stage Venture,2018-09-28,18000000,Series B,28000000,"Kolton Andrus, Matthew Fornaciari"
GridVid.me,https://www.crunchbase.com/organization/gridvid-me,"Cyber Security, Video","Portland, Oregon, United States","1,672,246",2012-12-01,,,,,,Matt Wallington
Groots,https://www.crunchbase.com/organization/groots,"Agriculture, AgTech, E-Commerce, Farming, Hydroponics, Local","Barcelona, Catalonia, Spain","46,540",2018-12-17,Seed,2021-02-15,606611,Seed,716796,"Alessandro Calcagno, Carlos Gómez Chereguini, Joaquim Bas"
GroTrip,https://www.crunchbase.com/organization/grotrip,"Crowdfunding, Crowdsourcing, Tourism, Travel","Boston, Massachusetts, United States","1,253,144",2015-01-01,,,,,,Bryan Healey
GrowSoft,https://www.crunchbase.com/organization/growsoft,"Advertising, Apps, Information Technology, Internet, Marketing, Service Industry, Software","Bhopal, Madhya Pradesh, India","508,067",2021-01-24,,,,,,"Amit Gautam, Jeff Bezos"
GupShup,https://www.crunchbase.com/organization/gupshup-technology-india-pvt-ltd,"CRM, Information Technology, Messaging","San Francisco, California, United States",82,2004-01-01,Private Equity,2022-05-19,100000000,Private Equity,484130000,"Beerud Sheth, Dr Milind R Agarwal, Rakesh Mathur"
H Bureau,https://www.crunchbase.com/organization/h-bureau,"Information Technology, Music, News, Social Media",,"1,553,231",2016-01-01,,,,,,"Howard Gray, Tiago Teixeira Correia"
Habit Labs,https://www.crunchbase.com/organization/habit-labs,"Fitness, Health Care, Wellness","Seattle, Washington, United States","340,599",2011-07-01,Seed,2012-02-10,495000,Debt Financing,745000,"Buster Benson, Jen McCabe"
Habitlab,https://www.crunchbase.com/organization/habitlab,Health Care,"Frederiksberg, Hovedstaden, Denmark","1,126,524",2015-08-23,,,,,,"Jesper Reiche, Marc Emil Domar, Vlad Manea"
HackerEarth,https://www.crunchbase.com/organization/hackerearth,"College Recruiting, Education, Human Resources, Internet, Recruiting, Software","San Francisco, California, United States","7,888",2012-01-01,Early Stage Venture,2018-11-01,6500000,Series B,11500000,"Sachin Gupta, Vivek Prakash"
HackerRank,https://www.crunchbase.com/organization/hackerrank,"Employment, Internet, Internet of Things, Recruiting, Skill Assessment","Mountain View, California, United States","1,117",2009-01-01,Late Stage Venture,2022-03-29,60000000,Series D,102900000,"Harishankaran Karunanidhi, Vivek Ravisankar"
HackTheMidlands,https://www.crunchbase.com/organization/hackthemidlands-a762,Software,,"1,593,111",2016-01-01,,,,,,Liam Sorta
Handle Financial,https://www.crunchbase.com/organization/handle-financial,"E-Commerce, Financial Services, Payments, Property Management","Sunnyvale, California, United States","28,270",2009-01-01,,2021-08-30,22809984,Venture - Series Unknown,114515074,Danny Shader
Haystagg,https://www.crunchbase.com/organization/haystagg,"Ad Targeting, Advertising Platforms, Digital Media","Manchester, New Hampshire, United States","129,846",2013-05-10,Seed,2015-04-17,600000,Seed,1939475,"Doug Newell, Michael Ouellette, Volker Hatz, Volker Hatz"
